Component,Explained_Variance_Ratio,Cumulative_Explained_Variance
PC1,0.17399882767967229,0.17399882767967229
PC2,0.16052431274535217,0.33452314042502446
PC3,0.13231165719336335,0.4668347976183878
PC4,0.06031166840408803,0.5271464660224758
PC5,0.05185954325736341,0.5790060092798393
PC6,0.04660124617787344,0.6256072554577127
PC7,0.03946173639306672,0.6650689918507794
PC8,0.03465280966305451,0.6997218015138339
PC9,0.02996217731613426,0.7296839788299682
PC10,0.027883476100467722,0.7575674549304359
PC11,0.027049999668672733,0.7846174545991086
PC12,0.022512536003403208,0.8071299906025118
PC13,0.02191060351931153,0.8290405941218233
PC14,0.017457329696464335,0.8464979238182876
PC15,0.015677540263921895,0.8621754640822095
PC16,0.015472122320945539,0.877647586403155
PC17,0.012556395075056083,0.8902039814782111
PC18,0.012354927190695104,0.9025589086689062
PC19,0.0112853418634117,0.9138442505323179
PC20,0.009553791661700228,0.9233980421940181
PC21,0.007100070148748286,0.9304981123427664
PC22,0.006758183278755426,0.9372562956215218
PC23,0.006268281521434086,0.9435245771429559
PC24,0.005888847843220747,0.9494134249861766
PC25,0.005127643812029492,0.9545410687982061
