Hidden_Dim1,Hidden_Dim2,Learning_Rate,Beta,Final_Training_Loss,Trustworthiness,Continuity,Reconstruction_MSE,Trust_Rank,Continuity_Rank,Reconstruction_Rank,Total_Rank
256,128,0.0005,0.01,0.019322150266699253,0.9203456141776384,0.9618243372376859,0.012453975155949593,1.0,1.0,1.0,3.0
256,128,0.001,0.01,0.01943656922348084,0.9202812684418011,0.958292565866325,0.01441409345716238,2.0,3.0,5.0,10.0
64,32,0.0005,0.01,0.0192696807245093,0.9096478208875535,0.9553350890219106,0.01436792965978384,3.0,4.0,3.0,10.0
128,64,0.001,0.01,0.019399478460752195,0.9037432287854498,0.9594901482673415,0.014400700107216835,5.0,2.0,4.0,11.0
64,32,0.001,0.01,0.0193448219628584,0.9044522418532981,0.948678788447479,0.015492166392505169,4.0,6.0,9.0,19.0
128,64,0.0005,0.01,0.019415829901493365,0.9016835844078845,0.948224534813516,0.014508182182908058,6.0,7.0,6.0,19.0
256,128,0.0007,0.01,0.01943906069162392,0.868466672631853,0.9305021567834388,0.014160594902932644,9.0,9.0,2.0,20.0
128,64,0.0007,0.01,0.019324255866869804,0.8977880077819056,0.9507605358787053,0.015465307049453259,7.0,5.0,8.0,20.0
64,32,0.0007,0.01,0.019286930591108337,0.8756114361442832,0.9461810272176242,0.015016929246485233,8.0,8.0,7.0,23.0
128,64,0.0007,0.1,0.019751796348681374,0.7227230104435083,0.8876672926638177,0.01969650201499462,13.0,12.0,13.0,38.0
128,64,0.001,0.1,0.019747539783918088,0.6882448523282407,0.8731724045052394,0.019694730639457703,15.0,14.0,12.0,41.0
128,64,0.0005,0.1,0.01975101187464691,0.759810921561331,0.9093704600797737,0.019697917625308037,10.0,10.0,21.0,41.0
64,32,0.0007,0.1,0.019705439587273905,0.7575731917545838,0.8803467860444355,0.019699150696396828,11.0,13.0,23.0,47.0
256,128,0.0005,0.1,0.01975730791567795,0.7338337505286069,0.8905954511250053,0.01971433125436306,12.0,11.0,28.0,51.0
64,32,0.0005,0.1,0.019704295382384333,0.6654223100177792,0.8149247523283979,0.01969761587679386,19.0,16.0,17.0,52.0
64,32,0.001,0.1,0.019707416364502524,0.7196873798330002,0.861150712234643,0.019704695791006088,14.0,15.0,25.0,54.0
128,64,0.0005,0.5,0.0197503705238623,0.6794023134093423,0.7989863922179381,0.01969778724014759,16.0,24.0,20.0,60.0
64,32,0.0007,0.5,0.01970563561565453,0.661996260160932,0.8120404970739985,0.019698485732078552,20.0,19.0,22.0,61.0
128,64,0.001,0.5,0.019746055766459433,0.6275422016372538,0.7995865554275855,0.019694330170750618,28.0,23.0,11.0,62.0
64,32,0.001,0.5,0.01970770465390336,0.6746421549783579,0.8091970584808026,0.01970481686294079,17.0,21.0,26.0,64.0
64,32,0.001,1.0,0.019707631139505292,0.6673420854596999,0.8120216797854489,0.019705113023519516,18.0,20.0,27.0,65.0
128,64,0.0007,0.5,0.01975214328136175,0.6417971746594423,0.7617706929017178,0.01969701051712036,25.0,29.0,14.0,68.0
256,128,0.001,1.0,0.019757309417811134,0.650786286495338,0.8130006032850393,0.019717738032341003,21.0,17.0,31.0,69.0
64,32,0.0005,0.5,0.019703871330186244,0.6343258279167946,0.7579070234271497,0.019697390496730804,27.0,30.0,16.0,73.0
128,64,0.0005,1.0,0.01975154945807111,0.6499589028301032,0.7498059823012884,0.019697777926921844,22.0,32.0,19.0,73.0
256,128,0.0007,0.1,0.019756901708822095,0.6468160600870412,0.8127742263911542,0.01972060464322567,23.0,18.0,35.0,76.0
256,128,0.0005,1.0,0.019756629972928954,0.6434966377321474,0.7812538930759323,0.01971682906150818,24.0,27.0,29.0,80.0
256,128,0.001,0.1,0.01975681779966239,0.626827701618514,0.8040220413987459,0.019717397168278694,29.0,22.0,30.0,81.0
128,64,0.001,1.0,0.019746564689182466,0.5651117520171567,0.6882799241931159,0.01969415508210659,36.0,35.0,10.0,81.0
64,32,0.0007,1.0,0.019705911918032552,0.6265205604770514,0.7668797433500977,0.01969972997903824,30.0,28.0,24.0,82.0
128,64,0.0007,1.0,0.019751617835173683,0.5937790467464521,0.6828980320175038,0.019697139039635658,33.0,36.0,15.0,84.0
64,32,0.0005,1.0,0.01970330340367171,0.5976381461142182,0.7241096695461298,0.01969771273434162,32.0,34.0,18.0,84.0
256,128,0.0005,0.5,0.019757523772216613,0.637090046078038,0.7967368579756855,0.01971994712948799,26.0,25.0,34.0,85.0
256,128,0.0007,1.0,0.019757284482400262,0.616203468645923,0.7947359079048189,0.019720744341611862,31.0,26.0,36.0,93.0
256,128,0.0007,0.5,0.019756848953904643,0.5879903032419485,0.7521719964553364,0.019717860966920853,35.0,31.0,32.0,98.0
256,128,0.001,0.5,0.01975666680523465,0.5904855706993066,0.7411854119335575,0.019719120115041733,34.0,33.0,33.0,100.0
