Method,k,Inertia
PCA,3,8333.826858147882
PCA,4,7415.819032623844
PCA,5,6787.961540191014
PCA,6,6272.725686083636
PCA,7,5902.005191422109
PCA,8,5535.1445946102
PCA,9,5354.4978301355095
PCA,10,5203.7653089174955
t-SNE,3,2916142.5
t-SNE,4,2094247.375
t-SNE,5,1493206.875
t-SNE,6,1196334.125
t-SNE,7,987256.5625
t-SNE,8,853474.4375
t-SNE,9,730485.375
t-SNE,10,629970.875
UMAP,3,304222.625
UMAP,4,160384.8125
UMAP,5,104748.4453125
UMAP,6,68136.046875
UMAP,7,54825.7890625
UMAP,8,44477.02734375
UMAP,9,33246.26171875
UMAP,10,24135.955078125
VAE,3,2238.10302734375
VAE,4,1420.797119140625
VAE,5,940.4273681640625
VAE,6,586.8856201171875
VAE,7,431.7629699707031
VAE,8,300.90472412109375
VAE,9,194.89968872070312
VAE,10,139.1338348388672
