Method,k,Cluster,Patient_Count,Percentage
PCA,3,0,2495,31.747041608347114
PCA,3,1,2723,34.64817406794757
PCA,3,2,2641,33.6047843237053
PCA,4,0,1955,24.875938414556558
PCA,4,1,1591,20.244305891334776
PCA,4,2,2118,26.949993637867415
PCA,4,3,2195,27.929762056241252
PCA,5,0,2118,26.949993637867415
PCA,5,1,1394,17.73762565211859
PCA,5,2,1280,16.28705942231836
PCA,5,3,872,11.095559231454384
PCA,5,4,2195,27.929762056241252
PCA,6,0,2118,26.949993637867415
PCA,6,1,2195,27.929762056241252
PCA,6,2,872,11.095559231454384
PCA,6,3,912,11.604529838401833
PCA,6,4,579,7.367349535564322
PCA,6,5,1183,15.052805700470797
PCA,7,0,778,9.899478305127879
PCA,7,1,749,9.530474615090977
PCA,7,2,2268,28.858633413920348
PCA,7,3,533,6.782033337574756
PCA,7,4,521,6.629342155490521
PCA,7,5,625,7.9526657335538875
PCA,7,6,2385,30.34737243924163
PCA,8,0,521,6.629342155490521
PCA,8,1,533,6.782033337574756
PCA,8,2,2195,27.929762056241252
PCA,8,3,2118,26.949993637867415
PCA,8,4,714,9.08512533401196
PCA,8,5,625,7.9526657335538875
PCA,8,6,778,9.899478305127879
PCA,8,7,375,4.7715994401323325
PCA,9,0,490,6.2348899351062474
PCA,9,1,646,8.219875302201297
PCA,9,2,475,6.0440259575009545
PCA,9,3,2195,27.929762056241252
PCA,9,4,2118,26.949993637867415
PCA,9,5,625,7.9526657335538875
PCA,9,6,747,9.505026084743607
PCA,9,7,211,2.684819951647792
PCA,9,8,352,4.47894134113755
PCA,10,0,350,4.453492810790176
PCA,10,1,2195,27.929762056241252
PCA,10,2,2118,26.949993637867415
PCA,10,3,625,7.9526657335538875
PCA,10,4,521,6.629342155490521
PCA,10,5,267,3.3973788013742205
PCA,10,6,266,3.384654536200534
PCA,10,7,778,9.899478305127879
PCA,10,8,384,4.886117826695508
PCA,10,9,355,4.517114136658608
t-SNE,3,0,2832,36.03511897187938
t-SNE,3,1,2928,37.25664842855325
t-SNE,3,2,2099,26.708232599567378
t-SNE,4,0,2678,34.0755821351317
t-SNE,4,1,1103,14.034864486575902
t-SNE,4,2,1752,22.292912584298257
t-SNE,4,3,2326,29.596640793994144
t-SNE,5,0,2118,26.949993637867415
t-SNE,5,1,1099,13.983967425881156
t-SNE,5,2,2327,29.609365059167832
t-SNE,5,3,1364,17.355897696908006
t-SNE,5,4,951,12.100776180175595
t-SNE,6,0,2118,26.949993637867415
t-SNE,6,1,874,11.121007761801756
t-SNE,6,2,2327,29.609365059167832
t-SNE,6,3,1047,13.322305636849471
t-SNE,6,4,572,7.278279679348517
t-SNE,6,5,921,11.719048224965007
t-SNE,7,0,436,5.547779615727192
t-SNE,7,1,2327,29.609365059167832
t-SNE,7,2,2118,26.949993637867415
t-SNE,7,3,921,11.719048224965007
t-SNE,7,4,611,7.77452602112228
t-SNE,7,5,874,11.121007761801756
t-SNE,7,6,572,7.278279679348517
t-SNE,8,0,555,7.061967171395851
t-SNE,8,1,2290,29.13856724774144
t-SNE,8,2,2118,26.949993637867415
t-SNE,8,3,581,7.392798065911693
t-SNE,8,4,914,11.629978368749205
t-SNE,8,5,572,7.278279679348517
t-SNE,8,6,393,5.000636213258685
t-SNE,8,7,436,5.547779615727192
t-SNE,9,0,538,6.845654663443186
t-SNE,9,1,1551,19.735335284387325
t-SNE,9,2,2118,26.949993637867415
t-SNE,9,3,914,11.629978368749205
t-SNE,9,4,572,7.278279679348517
t-SNE,9,5,739,9.403231963354116
t-SNE,9,6,393,5.000636213258685
t-SNE,9,7,479,6.094923018195699
t-SNE,9,8,555,7.061967171395851
t-SNE,10,0,555,7.061967171395851
t-SNE,10,1,2118,26.949993637867415
t-SNE,10,2,386,4.91156635704288
