Method,k,Seed_1,Seed_2,ARI
PCA,3,1606,42,1.0
PCA,3,1606,123,1.0
PCA,3,1606,456,1.0
PCA,3,1606,789,1.0
PCA,3,42,123,1.0
PCA,3,42,456,1.0
PCA,3,42,789,1.0
PCA,3,123,456,1.0
PCA,3,123,789,1.0
PCA,3,456,789,1.0
PCA,4,1606,42,1.0
PCA,4,1606,123,1.0
PCA,4,1606,456,1.0
PCA,4,1606,789,1.0
PCA,4,42,123,1.0
PCA,4,42,456,1.0
PCA,4,42,789,1.0
PCA,4,123,456,1.0
PCA,4,123,789,1.0
PCA,4,456,789,1.0
PCA,5,1606,42,0.9634910726986832
PCA,5,1606,123,0.9634910726986832
PCA,5,1606,456,0.9634910726986832
PCA,5,1606,789,1.0
PCA,5,42,123,1.0
PCA,5,42,456,1.0
PCA,5,42,789,0.9634910726986832
PCA,5,123,456,1.0
PCA,5,123,789,0.9634910726986832
PCA,5,456,789,0.9634910726986832
PCA,6,1606,42,0.8881884550019143
PCA,6,1606,123,0.9610382925182759
PCA,6,1606,456,0.9610382925182759
PCA,6,1606,789,0.9610382925182759
PCA,6,42,123,0.8866818425856736
PCA,6,42,456,0.8866818425856736
PCA,6,42,789,0.8866818425856736
PCA,6,123,456,1.0
PCA,6,123,789,1.0
PCA,6,456,789,1.0
PCA,7,1606,42,0.9051953080702003
PCA,7,1606,123,0.9051953080702003
PCA,7,1606,456,0.9048067367194198
PCA,7,1606,789,0.9051953080702003
PCA,7,42,123,1.0
PCA,7,42,456,0.9626559646191089
PCA,7,42,789,1.0
PCA,7,123,456,0.9626559646191089
PCA,7,123,789,1.0
PCA,7,456,789,0.9626559646191089
PCA,8,1606,42,0.9626597652500284
PCA,8,1606,123,0.9503927497586296
PCA,8,1606,456,0.9547236704547922
PCA,8,1606,789,1.0
PCA,8,42,123,0.922237388180637
PCA,8,42,456,0.9279793549583876
PCA,8,42,789,0.9626597652500284
PCA,8,123,456,0.9102502142595531
PCA,8,123,789,0.9503927497586296
PCA,8,456,789,0.9547236704547922
PCA,9,1606,42,0.9558979951191191
PCA,9,1606,123,0.9615858574347423
PCA,9,1606,456,0.9288506716362093
PCA,9,1606,789,0.9594074879915744
PCA,9,42,123,0.939765964293894
PCA,9,42,456,0.9358853964630682
PCA,9,42,789,0.970640404479876
PCA,9,123,456,0.934413802206112
PCA,9,123,789,0.9600536720309766
PCA,9,456,789,0.912454413089702
PCA,10,1606,42,0.8267525349029873
PCA,10,1606,123,0.9505301543901642
PCA,10,1606,456,0.9395106186551659
PCA,10,1606,789,0.960404046143082
PCA,10,42,123,0.8508426730229667
PCA,10,42,456,0.8443269642417449
PCA,10,42,789,0.8113912398094743
PCA,10,123,456,0.9473124700807779
PCA,10,123,789,0.9605505447051347
PCA,10,456,789,0.9244482388408924
t-SNE,3,1606,42,1.0
t-SNE,3,1606,123,1.0
t-SNE,3,1606,456,1.0
t-SNE,3,1606,789,1.0
t-SNE,3,42,123,1.0
t-SNE,3,42,456,1.0
t-SNE,3,42,789,1.0
t-SNE,3,123,456,1.0
t-SNE,3,123,789,1.0
t-SNE,3,456,789,1.0
t-SNE,4,1606,42,0.9990448453601432
t-SNE,4,1606,123,0.9990448453601432
t-SNE,4,1606,456,1.0
t-SNE,4,1606,789,1.0
t-SNE,4,42,123,1.0
t-SNE,4,42,456,0.9990448453601432
t-SNE,4,42,789,0.9990448453601432
t-SNE,4,123,456,0.9990448453601432
t-SNE,4,123,789,0.9990448453601432
t-SNE,4,456,789,1.0
t-SNE,5,1606,42,1.0
t-SNE,5,1606,123,1.0
t-SNE,5,1606,456,1.0
t-SNE,5,1606,789,1.0
t-SNE,5,42,123,1.0
t-SNE,5,42,456,1.0
t-SNE,5,42,789,1.0
t-SNE,5,123,456,1.0
t-SNE,5,123,789,1.0
t-SNE,5,456,789,1.0
t-SNE,6,1606,42,1.0
t-SNE,6,1606,123,1.0
t-SNE,6,1606,456,1.0
t-SNE,6,1606,789,1.0
t-SNE,6,42,123,1.0
t-SNE,6,42,456,1.0
t-SNE,6,42,789,1.0
t-SNE,6,123,456,1.0
t-SNE,6,123,789,1.0
t-SNE,6,456,789,1.0
t-SNE,7,1606,42,1.0
t-SNE,7,1606,123,0.995448602169644
t-SNE,7,1606,456,1.0
t-SNE,7,1606,789,1.0
t-SNE,7,42,123,0.995448602169644
t-SNE,7,42,456,1.0
t-SNE,7,42,789,1.0
t-SNE,7,123,456,0.995448602169644
t-SNE,7,123,789,0.995448602169644
t-SNE,7,456,789,1.0
t-SNE,8,1606,42,0.9956321928285289
