Method,k,Mean_ARI,Std_ARI,Min_ARI,Max_ARI
PCA,3,1.0,0.0,1.0,1.0
PCA,4,1.0,0.0,1.0,1.0
PCA,5,0.97809464361921,0.018853128990119625,0.9634910726986832,1.0
PCA,6,0.9431348860313763,0.05081826889047524,0.8866818425856736,1.0
PCA,7,0.9508360554787348,0.04221419289555193,0.9048067367194198,1.0
PCA,8,0.9496019328325478,0.025165245560413323,0.9102502142595531,1.0
PCA,9,0.9458955664745273,0.018318207124094498,0.912454413089702,0.970640404479876
PCA,10,0.9016069484792391,0.06052767902086478,0.8113912398094743,0.9605505447051347
t-SNE,3,1.0,0.0,1.0,1.0
t-SNE,4,0.999426907216086,0.0004932397350957762,0.9990448453601432,1.0
t-SNE,5,1.0,0.0,1.0,1.0
t-SNE,6,1.0,0.0,1.0,1.0
t-SNE,7,0.9981794408678576,0.002350331733191086,0.995448602169644,1.0
t-SNE,8,0.9274212756781723,0.0908977921902802,0.8207338667194481,1.0
t-SNE,9,0.9877682220041525,0.01171197852710627,0.9698199436003262,1.0
t-SNE,10,0.9889102909587324,0.004454378865911325,0.9834227736492511,0.9971172227568126
UMAP,3,1.0,0.0,1.0,1.0
UMAP,4,1.0,0.0,1.0,1.0
UMAP,5,0.9884149985153657,0.01495617260525893,0.9710374962884143,1.0
UMAP,6,1.0,0.0,1.0,1.0
UMAP,7,0.9523215407410339,0.03617912109846674,0.9154363103116956,1.0
UMAP,8,0.9517153131521976,0.02197849831525681,0.9256135093831902,1.0
UMAP,9,0.9711380944824665,0.01632603933627055,0.9447712549930906,1.0
UMAP,10,1.0,0.0,1.0,1.0
VAE,3,1.0,0.0,1.0,1.0
VAE,4,0.9997284418812129,0.0003505800238634527,0.9993211047030319,1.0
VAE,5,1.0,0.0,1.0,1.0
VAE,6,1.0,0.0,1.0,1.0
VAE,7,1.0,0.0,1.0,1.0
VAE,8,0.9689489259832964,0.04008676418284903,0.9223723149582409,1.0
VAE,9,1.0,0.0,1.0,1.0
VAE,10,0.9997120625284943,0.00019273985593637523,0.999520249111724,1.0
