k,Method_1,Method_2,ARI
3,PCA,t-SNE,0.47820947781776824
3,PCA,UMAP,0.5464273919380025
3,PCA,VAE,0.40222150162798265
3,t-SNE,UMAP,0.46382075096604514
3,t-SNE,VAE,0.25266393579516544
3,UMAP,VAE,0.39647149365370116
4,PCA,t-SNE,0.6193274752022545
4,PCA,UMAP,0.7029628039575387
4,PCA,VAE,0.8091479913238481
4,t-SNE,UMAP,0.6057601535421713
4,t-SNE,VAE,0.6103938817441029
4,UMAP,VAE,0.5893609796375463
5,PCA,t-SNE,0.7914319761902673
5,PCA,UMAP,0.7920267629924591
5,PCA,VAE,0.8590870199507619
5,t-SNE,UMAP,0.7807577216823121
5,t-SNE,VAE,0.7085035114321686
5,UMAP,VAE,0.7416583430685959
6,PCA,t-SNE,0.844346116683237
6,PCA,UMAP,0.8462773173770396
6,PCA,VAE,0.9119397342459229
6,t-SNE,UMAP,0.852148112735422
6,t-SNE,VAE,0.8045782683643931
6,UMAP,VAE,0.8220843914084716
7,PCA,t-SNE,0.7966869640129314
7,PCA,UMAP,0.830367871419454
7,PCA,VAE,0.8358430782945276
7,t-SNE,UMAP,0.8423793734862415
7,t-SNE,VAE,0.8109345125831062
7,UMAP,VAE,0.8404159180689855
8,PCA,t-SNE,0.893651184054199
8,PCA,UMAP,0.9036781111598088
8,PCA,VAE,0.9235689023279924
8,t-SNE,UMAP,0.8692115559873813
8,t-SNE,VAE,0.847030804998903
8,UMAP,VAE,0.8583896817129065
9,PCA,t-SNE,0.7868256793269134
9,PCA,UMAP,0.917301386119209
9,PCA,VAE,0.8991426526881406
9,t-SNE,UMAP,0.7470083724501592
9,t-SNE,VAE,0.7524990633799515
9,UMAP,VAE,0.8690363234143251
10,PCA,t-SNE,0.8140655546649009
10,PCA,UMAP,0.9250901195268169
10,PCA,VAE,0.9097402866519241
10,t-SNE,UMAP,0.769925755440473
10,t-SNE,VAE,0.7746591929566444
10,UMAP,VAE,0.8770422418347896
