perplexity,epsilon_multiplier,epsilon,number_of_clusters,number_of_outliers,outlier_percentage,smallest_cluster_size
20,0.8,9.011484435011715,16,166,2.1122280188319125,58
20,0.9,10.137919989388179,12,65,0.8270772362896042,58
20,1.0,11.264355543764642,7,49,0.6234889935106248,58
30,0.8,7.558919142001035,19,248,3.1556177630741824,61
30,0.9,8.503784034751165,17,73,0.928871357679094,49
30,1.0,9.448648927501294,13,26,0.3308308945158417,70
40,0.8,10.136927941785032,10,9,0.11451838656317598,98
40,0.9,11.404043934508161,4,0,0.0,201
40,1.0,12.67115992723129,2,0,0.0,240
50,0.8,8.25236233357159,11,68,0.865250031810663,70
50,0.9,9.28390762526804,8,7,0.08906985621580354,70
50,1.0,10.315452916964487,4,0,0.0,168
60,0.8,7.894861652810682,9,22,0.2799338338210969,94
60,0.9,8.881719359412017,7,0,0.0,168
60,1.0,9.868577066013351,6,0,0.0,168
70,0.8,7.152356539636337,13,56,0.7125588497264284,95
70,0.9,8.04640110709088,10,56,0.7125588497264284,95
70,1.0,8.94044567454542,8,0,0.0,119
80,0.8,8.65642788240076,7,37,0.4707978114263901,95
80,0.9,9.738481367700853,5,15,0.1908639776052933,95
80,1.0,10.820534853000948,4,0,0.0,95
