n_neighbors,min_dist,epsilon_multiplier,epsilon,number_of_clusters,number_of_outliers,outlier_percentage,smallest_cluster_size
10,0.0,0.8,3.594604509465256,12,41,0.521694872121135,67
10,0.0,0.9,4.043930073148413,9,41,0.521694872121135,175
10,0.0,1.0,4.49325563683157,8,0,0.0,175
10,0.1,0.8,4.33679544085697,4,26,0.3308308945158417,175
10,0.1,0.9,4.878894870964092,4,26,0.3308308945158417,175
10,0.1,1.0,5.420994301071213,4,0,0.0,175
10,0.2,0.8,4.72486070047146,4,37,0.4707978114263901,242
10,0.2,0.9,5.3154682880303925,3,0,0.0,2118
10,0.2,1.0,5.906075875589325,3,0,0.0,2118
10,0.3,0.8,3.610864345563529,9,87,1.107011070110701,72
10,0.3,0.9,4.06222238875897,8,71,0.9034228273317216,94
10,0.3,1.0,4.513580431954411,7,26,0.3308308945158417,191
10,0.4,0.8,4.829519952982672,2,55,0.6998345845527421,2195
10,0.4,0.9,5.433209947105505,2,54,0.6871103193790559,2195
10,0.4,1.0,6.036899941228339,2,0,0.0,2195
10,0.5,0.8,3.1002965599385868,10,123,1.5650846163634051,51
10,0.5,0.9,3.4878336299309103,7,119,1.5141875556686601,51
10,0.5,1.0,3.8753706999232334,6,26,0.3308308945158417,51
15,0.0,0.8,4.259818591957584,7,95,1.2088051915001907,110
15,0.0,0.9,4.792295915952282,5,69,0.8779742969843493,362
15,0.0,1.0,5.32477323994698,3,0,0.0,2118
15,0.1,0.8,3.385953482866375,10,23,0.29265809899478307,42
15,0.1,0.9,3.8091976682246718,7,0,0.0,175
15,0.1,1.0,4.232441853582968,6,0,0.0,175
15,0.2,0.8,4.290116016204709,5,69,0.8779742969843493,107
15,0.2,0.9,4.826380518230298,5,43,0.5471434024685075,107
15,0.2,1.0,5.362645020255886,5,0,0.0,107
15,0.3,0.8,2.913649599336216,11,79,1.0052169487212115,51
15,0.3,0.9,3.2778557992532433,9,49,0.6234889935106248,51
15,0.3,1.0,3.64206199917027,5,0,0.0,229
15,0.4,0.8,5.518412259931965,2,26,0.3308308945158417,2195
15,0.4,0.9,6.208213792423461,2,26,0.3308308945158417,2195
15,0.4,1.0,6.898015324914956,2,0,0.0,2195
