n_neighbors,min_dist,epsilon_multiplier,epsilon,silhouette_score,davies_bouldin_index,calinski_harabasz_index
10,0.0,0.8,3.594604509465256,0.7233898639678955,0.5715116791834945,16022.401997179473
10,0.0,0.9,4.043930073148413,0.6306617259979248,0.5461086862761887,9743.977235680553
10,0.0,1.0,4.49325563683157,0.5851903557777405,0.5403708143662351,8612.849946780998
10,0.1,0.8,4.33679544085697,0.5612878203392029,0.5655930959530813,7211.849078400093
10,0.1,0.9,4.878894870964092,0.5612878203392029,0.5655930959530813,7211.849078400093
10,0.1,1.0,5.420994301071213,0.5564454197883606,0.5699728801496088,7014.344312101165
10,0.2,0.8,4.72486070047146,0.5573546886444092,0.5866127561137103,7856.012431553855
10,0.2,0.9,5.3154682880303925,0.5905678272247314,0.5842984805467958,9236.6330440387
10,0.2,1.0,5.906075875589325,0.5905678272247314,0.5842984805467958,9236.6330440387
10,0.3,0.8,3.610864345563529,0.546513557434082,0.5556151560852092,7213.514723658891
10,0.3,0.9,4.06222238875897,0.5395649075508118,0.5772588105218855,8003.447146150955
10,0.3,1.0,4.513580431954411,0.5384922623634338,0.5948745420316406,8779.890030200111
10,0.4,0.8,4.829519952982672,0.42940810322761536,0.674657565758536,5648.028200856325
10,0.4,0.9,5.433209947105505,0.4292600154876709,0.6748443410138015,5644.340004264915
10,0.4,1.0,6.036899941228339,0.42278823256492615,0.681407938472283,5504.098294972766
10,0.5,0.8,3.1002965599385868,0.5231897830963135,0.5246754207019327,6222.500328237755
10,0.5,0.9,3.4878336299309103,0.4828730523586273,0.5346734086164628,5117.5951581397285
10,0.5,1.0,3.8753706999232334,0.4879991114139557,0.5552236162593766,5670.6424960644645
15,0.0,0.8,4.259818591957584,0.5667211413383484,0.5869986131374888,8018.935756535488
15,0.0,0.9,4.792295915952282,0.5960059762001038,0.6233571750054117,8547.749719459838
15,0.0,1.0,5.32477323994698,0.5856834053993225,0.580073615366613,8291.614169299379
15,0.1,0.8,3.385953482866375,0.6461944580078125,0.6228086641965799,6833.21515579137
15,0.1,0.9,3.8091976682246718,0.5729669332504272,0.913385933185932,5271.210992511997
15,0.1,1.0,4.232441853582968,0.5309034585952759,0.6687584591674045,5107.40829272966
15,0.2,0.8,4.290116016204709,0.5605246424674988,0.6234325166110599,8710.966455496746
15,0.2,0.9,4.826380518230298,0.5569539666175842,0.624565185863179,8589.188328740383
15,0.2,1.0,5.362645020255886,0.5522509813308716,0.629708305090846,8467.859482217827
15,0.3,0.8,2.913649599336216,0.6697930097579956,0.5029679763733185,10733.401389581852
15,0.3,0.9,3.2778557992532433,0.6579034924507141,0.566758672747905,12543.331513227962
15,0.3,1.0,3.64206199917027,0.560312032699585,0.5765404156661219,9006.218126952008
15,0.4,0.8,5.518412259931965,0.525087833404541,0.5594459819466175,8171.468054660749
15,0.4,0.9,6.208213792423461,0.525087833404541,0.5594459819466175,8171.468054660749
15,0.4,1.0,6.898015324914956,0.5221179127693176,0.563584746438628,8013.943910988444
15,0.5,0.8,1.9936018387013954,0.746383011341095,0.33535415696123616,29208.184433167808
15,0.5,0.9,2.2428020685390697,0.7488521933555603,0.3407281536010247,28988.04003204063
15,0.5,1.0,2.492002298376744,0.6636142730712891,0.562349565356219,18342.749432529712
