cluster,number_of_patients,percentage
-1,241,3.066547906858379
0,363,4.618908258048098
1,2117,26.937269372693727
2,2195,27.929762056241252
3,352,4.47894134113755
4,190,2.4176103830003814
5,229,2.9138567247741443
6,175,2.226746405395088
7,70,0.8906985621580354
8,175,2.226746405395088
9,149,1.8959155108792467
10,231,2.939305255121517
11,105,1.336047843237053
12,51,0.6489375238579972
13,234,2.977478050642575
14,58,0.7380073800738007
15,59,0.7507316452474869
16,313,3.982694999363787
17,53,0.6743860542053696
18,59,0.7507316452474869
19,239,3.041099376511007
20,201,2.55757729991093
