hidden_layer_1,hidden_layer_2,learning_rate,beta,epsilon_multiplier,epsilon,number_of_clusters,number_of_outliers,outlier_percentage,smallest_cluster_size
128,64,0.0001,0.01,0.8,0.320047425281214,18,161,2.0486066929634816,58
128,64,0.0001,0.01,0.9,0.36005335344136574,14,158,2.010433897442423,58
128,64,0.0001,0.01,1.0,0.4000592816015175,14,100,1.272426517368622,55
128,64,0.0001,0.05,0.8,0.12112920485310226,17,162,2.0613309581371677,58
128,64,0.0001,0.05,0.9,0.13627035545974003,17,131,1.6668787377528946,59
128,64,0.0001,0.05,1.0,0.15141150606637782,17,97,1.2342537218475633,61
128,64,0.0001,0.1,0.8,0.09824167767552681,14,177,2.252194935742461,85
128,64,0.0001,0.1,0.9,0.11052188738496765,14,170,2.1631250795266572,85
128,64,0.0001,0.1,1.0,0.12280209709440851,14,163,2.074055223310854,85
128,64,0.0001,0.15,0.8,0.2897835053093824,12,106,1.3487721084107391,51
128,64,0.0001,0.15,0.9,0.3260064434730552,13,29,0.36900369003690037,51
128,64,0.0001,0.15,1.0,0.36222938163672797,9,29,0.36900369003690037,51
128,64,0.0001,0.2,0.8,0.12962154487030605,10,161,2.0486066929634816,188
128,64,0.0001,0.2,0.9,0.1458242379790943,11,100,1.272426517368622,58
128,64,0.0001,0.2,1.0,0.16202693108788255,11,96,1.221529456673877,61
128,64,0.0001,0.25,0.8,0.06631008088884187,12,71,0.9034228273317216,55
128,64,0.0001,0.25,0.9,0.07459884099994711,12,40,0.5089706069474488,68
128,64,0.0001,0.25,1.0,0.08288760111105234,12,24,0.30538236416846926,69
128,64,0.0002,0.01,0.8,0.5938245936810628,7,116,1.4760147601476015,74
128,64,0.0002,0.01,0.9,0.6680526678911957,6,61,0.7761801755948594,97
128,64,0.0002,0.01,1.0,0.7422807421013284,3,21,0.26720956864741063,286
128,64,0.0002,0.05,0.8,0.2124936410527076,21,385,4.898842091869195,58
128,64,0.0002,0.05,0.9,0.23905534618429602,22,250,3.181066293421555,50
128,64,0.0002,0.05,1.0,0.2656170513158845,21,221,2.8120626033846547,58
128,64,0.0002,0.1,0.8,0.2824133874541956,14,0,0.0,63
128,64,0.0002,0.1,0.9,0.31771506088597,13,0,0.0,63
128,64,0.0002,0.1,1.0,0.35301673431774444,12,0,0.0,63
128,64,0.0002,0.15,0.8,0.11726374803956006,14,243,3.0919964372057516,94
128,64,0.0002,0.15,0.9,0.13192171654450507,16,137,1.7432243287950122,50
128,64,0.0002,0.15,1.0,0.14657968504945007,16,113,1.4378419646265428,51
128,64,0.0002,0.2,0.8,0.12480386022170636,14,158,2.010433897442423,84
128,64,0.0002,0.2,0.9,0.14040434274941965,15,106,1.3487721084107391,51
128,64,0.0002,0.2,1.0,0.15600482527713294,15,106,1.3487721084107391,51
128,64,0.0002,0.25,0.8,0.12627009564249966,15,107,1.3614963735844254,51
128,64,0.0002,0.25,0.9,0.1420538575978121,15,106,1.3487721084107391,51
128,64,0.0002,0.25,1.0,0.15783761955312456,14,103,1.3105993128896807,51
128,64,0.0003,0.01,0.8,0.5610794009213297,5,82,1.04338974424227,30
128,64,0.0003,0.01,0.9,0.6312143260364959,3,6,0.07634559104211731,267
128,64,0.0003,0.01,1.0,0.701349251151662,1,0,0.0,7859
128,64,0.0003,0.05,0.8,0.3843905330935704,13,114,1.450566229800229,94
128,64,0.0003,0.05,0.9,0.43243934973026665,10,16,0.2035882427789795,51
128,64,0.0003,0.05,1.0,0.48048816636696295,9,0,0.0,58
128,64,0.0003,0.1,0.8,0.27784209556006867,18,63,0.8016287059422318,53
128,64,0.0003,0.1,0.9,0.3125723575050773,17,22,0.2799338338210969,55
128,64,0.0003,0.1,1.0,0.34730261945008584,15,3,0.03817279552105866,55
128,64,0.0003,0.15,0.8,0.08617149087501087,15,257,3.2701361496373584,56
128,64,0.0003,0.15,0.9,0.09694292723438723,15,241,3.066547906858379,60
128,64,0.0003,0.15,1.0,0.10771436359376359,15,228,2.901132459600458,63
128,64,0.0003,0.2,0.8,0.17522536564619476,16,149,1.8959155108792467,93
128,64,0.0003,0.2,0.9,0.1971285363519691,16,92,1.1706323959791323,56
128,64,0.0003,0.2,1.0,0.21903170705774344,15,63,0.8016287059422318,80
128,64,0.0003,0.25,0.8,0.10882153442780854,16,150,1.9086397760529328,47
128,64,0.0003,0.25,0.9,0.1224242262312846,15,127,1.6159816770581499,51
128,64,0.0003,0.25,1.0,0.13602691803476066,15,100,1.272426517368622,52
128,64,0.0004,0.01,0.8,0.5332268035991274,5,127,1.6159816770581499,54
128,64,0.0004,0.01,0.9,0.5998801540490183,5,6,0.07634559104211731,28
128,64,0.0004,0.01,1.0,0.6665335044989092,2,0,0.0,314
128,64,0.0004,0.05,0.8,0.40852164997855556,9,100,1.272426517368622,55
128,64,0.0004,0.05,0.9,0.459586856225875,5,15,0.1908639776052933,55
128,64,0.0004,0.05,1.0,0.5106520624731944,4,0,0.0,55
128,64,0.0004,0.1,0.8,0.21816808696797138,22,201,2.55757729991093,51
128,64,0.0004,0.1,0.9,0.24543909783896778,21,136,1.730500063621326,51
128,64,0.0004,0.1,1.0,0.2727101087099642,20,104,1.3233235780633668,53
128,64,0.0004,0.15,0.8,0.15599085864300016,19,183,2.328540526784578,51
128,64,0.0004,0.15,0.9,0.17548971597337518,20,122,1.5523603511897188,51
128,64,0.0004,0.15,1.0,0.1949885733037502,20,122,1.5523603511897188,51
128,64,0.0004,0.2,0.8,0.09622740191986956,18,238,3.0283751113373203,56
128,64,0.0004,0.2,0.9,0.10825582715985325,18,184,2.3412647919582645,63
128,64,0.0004,0.2,1.0,0.12028425239983695,18,182,2.315816261610892,63
128,64,0.0004,0.25,0.8,0.15817393816009317,17,55,0.6998345845527421,94
128,64,0.0004,0.25,0.9,0.1779456804301048,16,46,0.5853161979895661,94
128,64,0.0004,0.25,1.0,0.19771742270011644,16,40,0.5089706069474488,94
128,64,0.0005,0.01,0.8,0.45107971189442453,5,194,2.4685074436951266,51
128,64,0.0005,0.01,0.9,0.5074646758812276,2,71,0.9034228273317216,52
128,64,0.0005,0.01,1.0,0.5638496398680306,1,37,0.4707978114263901,7822
128,64,0.0005,0.05,0.8,0.31561773270769605,14,219,2.786614073037282,55
128,64,0.0005,0.05,0.9,0.35506994929615804,11,149,1.8959155108792467,55
128,64,0.0005,0.05,1.0,0.39452216588462,7,119,1.5141875556686601,55
128,64,0.0005,0.1,0.8,0.23945957054308234,22,262,3.3337574755057893,55
128,64,0.0005,0.1,0.9,0.26939201686096764,23,115,1.4632904949739152,42
128,64,0.0005,0.1,1.0,0.2993244631788529,17,112,1.4251176994528567,55
128,64,0.0005,0.15,0.8,0.14016569177483879,20,82,1.04338974424227,51
128,64,0.0005,0.15,0.9,0.1576864032466936,19,76,0.9670441532001526,51
128,64,0.0005,0.15,1.0,0.17520711471854847,19,64,0.814352971115918,51
128,64,0.0005,0.2,0.8,0.10665873197867737,17,289,3.677312635195318,51
128,64,0.0005,0.2,0.9,0.11999107347601204,18,237,3.0156508461636338,51
128,64,0.0005,0.2,1.0,0.1333234149733467,18,227,2.8884081944267717,51
128,64,0.0005,0.25,0.8,0.19643913382762812,18,160,2.035882427789795,52
128,64,0.0005,0.25,0.9,0.2209940255560816,17,139,1.7686728591423846,54
128,64,0.0005,0.25,1.0,0.24554891728453512,17,63,0.8016287059422318,59
128,64,0.0006,0.01,0.8,0.4425094670222919,1,324,4.122661916274335,7535
128,64,0.0006,0.01,0.9,0.49782315040007835,1,121,1.5396360860160325,7738
128,64,0.0006,0.01,1.0,0.5531368337778648,1,102,1.2978750477159944,7757
128,64,0.0006,0.05,0.8,0.37805314973716303,15,81,1.0306654790685839,54
128,64,0.0006,0.05,0.9,0.42530979345430836,8,0,0.0,54
128,64,0.0006,0.05,1.0,0.47256643717145375,4,0,0.0,50
128,64,0.0006,0.1,0.8,0.3430514736263375,15,74,0.9415956228527802,51
128,64,0.0006,0.1,0.9,0.38593290782962963,13,5,0.0636213258684311,51
128,64,0.0006,0.1,1.0,0.4288143420329218,7,0,0.0,51
128,64,0.0006,0.15,0.8,0.16110094368857206,18,191,2.430334648174068,63
128,64,0.0006,0.15,0.9,0.18123856164964355,17,140,1.781397124316071,65
128,64,0.0006,0.15,1.0,0.20137617961071505,17,139,1.7686728591423846,65
128,64,0.0006,0.2,0.8,0.27554436232358265,14,133,1.692327268100267,51
128,64,0.0006,0.2,0.9,0.30998740761403043,14,128,1.628705942231836,51
128,64,0.0006,0.2,1.0,0.34443045290447827,14,72,0.9161470925054078,51
128,64,0.0006,0.25,0.8,0.21670666860448168,18,220,2.7993383382109682,51
128,64,0.0006,0.25,0.9,0.24379500218004188,17,130,1.6541544725792083,51
128,64,0.0006,0.25,1.0,0.2708833357556021,16,107,1.3614963735844254,51
128,64,0.0007,0.01,0.8,0.4890122153139103,5,153,1.9468125715739915,22
128,64,0.0007,0.01,0.9,0.5501387422281491,4,31,0.3944522203842728,29
128,64,0.0007,0.01,1.0,0.6112652691423879,1,0,0.0,7859
128,64,0.0007,0.05,0.8,0.43998511722487565,5,54,0.6871103193790559,55
128,64,0.0007,0.05,0.9,0.4949832568779851,4,49,0.6234889935106248,55
128,64,0.0007,0.05,1.0,0.5499813965310946,2,0,0.0,55
128,64,0.0007,0.1,0.8,0.23258830529547608,22,216,2.7484412775162235,55
128,64,0.0007,0.1,0.9,0.2616618434574106,20,149,1.8959155108792467,55
128,64,0.0007,0.1,1.0,0.2907353816193451,16,117,1.4887390253212875,55
128,64,0.0007,0.15,0.8,0.4233814215736871,10,41,0.521694872121135,29
128,64,0.0007,0.15,0.9,0.47630409927039796,7,0,0.0,175
128,64,0.0007,0.15,1.0,0.5292267769671088,7,0,0.0,175
128,64,0.0007,0.2,0.8,0.2034356489770259,19,164,2.08677948848454,51
128,64,0.0007,0.2,0.9,0.22886510509915411,19,144,1.8322941850108156,51
128,64,0.0007,0.2,1.0,0.25429456122128236,16,106,1.3487721084107391,51
128,64,0.0007,0.25,0.8,0.16509620272274547,17,115,1.4632904949739152,51
128,64,0.0007,0.25,0.9,0.18573322806308865,15,113,1.4378419646265428,51
128,64,0.0007,0.25,1.0,0.20637025340343182,15,112,1.4251176994528567,51
128,64,0.0008,0.01,0.8,0.4460001871204322,4,148,1.8831912457055604,60
128,64,0.0008,0.01,0.9,0.5017502105104863,1,63,0.8016287059422318,7796
128,64,0.0008,0.01,1.0,0.5575002339005403,1,4,0.050897060694744874,7855
128,64,0.0008,0.05,0.8,0.346254349476021,11,109,1.386944903931798,51
128,64,0.0008,0.05,0.9,0.3895361431605236,6,106,1.3487721084107391,97
128,64,0.0008,0.05,1.0,0.43281793684502623,4,84,1.0688382745896425,97
128,64,0.0008,0.1,0.8,0.2591096766401195,20,248,3.1556177630741824,51
128,64,0.0008,0.1,0.9,0.29149838622013446,17,152,1.9340883064003052,51
128,64,0.0008,0.1,1.0,0.3238870958001494,14,130,1.6541544725792083,51
128,64,0.0008,0.15,0.8,0.21955394849789794,19,101,1.2851507825423083,51
128,64,0.0008,0.15,0.9,0.24699819206013518,19,74,0.9415956228527802,51
128,64,0.0008,0.15,1.0,0.2744424356223724,18,66,0.8398015014632905,51
128,64,0.0008,0.2,0.8,0.09822277888705787,17,254,3.2319633541162998,51
128,64,0.0008,0.2,0.9,0.11050062624794009,17,252,3.206514823768927,51
128,64,0.0008,0.2,1.0,0.12277847360882232,17,250,3.181066293421555,51
128,64,0.0008,0.25,0.8,0.11640059719851521,19,210,2.672095686474106,51
128,64,0.0008,0.25,0.9,0.13095067184832962,20,151,1.921364041226619,51
128,64,0.0008,0.25,1.0,0.145500746498144,20,150,1.9086397760529328,51
128,64,0.0009,0.01,0.8,0.4367530210079893,4,113,1.4378419646265428,55
128,64,0.0009,0.01,0.9,0.49134714863398793,3,43,0.5471434024685075,129
128,64,0.0009,0.01,1.0,0.5459412762599866,1,23,0.29265809899478307,7836
128,64,0.0009,0.05,0.8,0.27989771475083286,16,376,4.784323705306019,51
128,64,0.0009,0.05,0.9,0.31488492909468696,13,161,2.0486066929634816,51
128,64,0.0009,0.05,1.0,0.34987214343854106,5,114,1.450566229800229,55
128,64,0.0009,0.1,0.8,0.511078032588569,5,49,0.6234889935106248,98
128,64,0.0009,0.1,0.9,0.5749627866621401,3,29,0.36900369003690037,352
