hidden_layer_1,hidden_layer_2,learning_rate,beta,epsilon_multiplier,epsilon,silhouette_score,davies_bouldin_index,calinski_harabasz_index
128,64,0.0001,0.01,0.8,0.320047425281214,0.6903653740882874,0.3389560526903191,18464.249381883685
128,64,0.0001,0.01,0.9,0.36005335344136574,0.5605194568634033,0.48113001245205844,8194.045168275363
128,64,0.0001,0.01,1.0,0.4000592816015175,0.5310628414154053,0.5168120187321819,7736.005752780297
128,64,0.0001,0.05,0.8,0.12112920485310226,0.7545917630195618,0.3207152680004739,21135.547971260487
128,64,0.0001,0.05,0.9,0.13627035545974003,0.753258228302002,0.32424627123922994,21101.293781545486
128,64,0.0001,0.05,1.0,0.15141150606637782,0.7508625388145447,0.33395707594334045,21046.751512914703
128,64,0.0001,0.1,0.8,0.09824167767552681,0.9018591642379761,0.16027897640635372,175307.5330137124
128,64,0.0001,0.1,0.9,0.11052188738496765,0.9015259742736816,0.1610648564037463,173617.86068511507
128,64,0.0001,0.1,1.0,0.12280209709440851,0.9010960459709167,0.16155544780503467,172350.5625715103
128,64,0.0001,0.15,0.8,0.2897835053093824,0.8311000466346741,0.371150534233192,39885.391119297245
128,64,0.0001,0.15,0.9,0.3260064434730552,0.8289945721626282,0.38967038220475547,37492.72463205157
128,64,0.0001,0.15,1.0,0.36222938163672797,0.7758376002311707,0.5887784711956219,27265.790253484152
128,64,0.0001,0.2,0.8,0.12962154487030605,0.8611689805984497,0.31984050589680957,98418.92675874068
128,64,0.0001,0.2,0.9,0.1458242379790943,0.8602838516235352,0.3151997998699994,90864.85353315451
128,64,0.0001,0.2,1.0,0.16202693108788255,0.8601663708686829,0.31648435656898233,90753.49688588186
128,64,0.0001,0.25,0.8,0.06631008088884187,0.8716865181922913,0.21076156854862113,208727.30437971585
128,64,0.0001,0.25,0.9,0.07459884099994711,0.8706285357475281,0.21575613340268432,206472.7487494442
128,64,0.0001,0.25,1.0,0.08288760111105234,0.8696734309196472,0.21800004045995,203299.20078125258
128,64,0.0002,0.01,0.8,0.5938245936810628,0.4155382812023163,0.6632157962978843,3009.7656745622776
128,64,0.0002,0.01,0.9,0.6680526678911957,0.42313703894615173,0.6980465100459577,3333.0500864985825
128,64,0.0002,0.01,1.0,0.7422807421013284,0.395483136177063,0.5884602098751094,1411.509923900392
128,64,0.0002,0.05,0.8,0.2124936410527076,0.6662441492080688,0.30623208322435286,9689.709292629836
128,64,0.0002,0.05,0.9,0.23905534618429602,0.6681905388832092,0.3614328256573,9291.264623591695
128,64,0.0002,0.05,1.0,0.2656170513158845,0.664736807346344,0.3647835197110056,9638.143131585512
128,64,0.0002,0.1,0.8,0.2824133874541956,0.7928370237350464,0.43232055750924553,33566.27792150451
128,64,0.0002,0.1,0.9,0.31771506088597,0.7680854797363281,0.4672316384076138,25237.60648832882
128,64,0.0002,0.1,1.0,0.35301673431774444,0.7601288557052612,0.4887467824216152,23339.116964532586
128,64,0.0002,0.15,0.8,0.11726374803956006,0.894965648651123,0.195721954295552,147581.23539504842
128,64,0.0002,0.15,0.9,0.13192171654450507,0.8936098217964172,0.21199575891629335,134920.96123579858
128,64,0.0002,0.15,1.0,0.14657968504945007,0.8920661211013794,0.2275490023444846,133866.93974239688
128,64,0.0002,0.2,0.8,0.12480386022170636,0.9123363494873047,0.2013749515834023,204659.88268151443
128,64,0.0002,0.2,0.9,0.14040434274941965,0.9123899936676025,0.19735341049001592,196354.6514185287
128,64,0.0002,0.2,1.0,0.15600482527713294,0.9123899936676025,0.19735341049001595,196354.6514185287
128,64,0.0002,0.25,0.8,0.12627009564249966,0.9231183528900146,0.18198088287805156,288276.28681006975
128,64,0.0002,0.25,0.9,0.1420538575978121,0.9230537414550781,0.18226856145254466,287797.373608259
128,64,0.0002,0.25,1.0,0.15783761955312456,0.9208705425262451,0.20642282397087977,258584.91660637452
128,64,0.0003,0.01,0.8,0.5610794009213297,0.3863641023635864,0.5561644611943161,806.110709792762
128,64,0.0003,0.01,0.9,0.6312143260364959,0.42061370611190796,0.5811527416257142,1550.951748559687
128,64,0.0003,0.01,1.0,0.701349251151662,,,
128,64,0.0003,0.05,0.8,0.3843905330935704,0.498929500579834,0.6465791739341114,6473.875933129677
128,64,0.0003,0.05,0.9,0.43243934973026665,0.49637582898139954,0.7306547370348969,5741.323638329822
128,64,0.0003,0.05,1.0,0.48048816636696295,0.497888445854187,0.6158643058269282,6251.882147562061
128,64,0.0003,0.1,0.8,0.27784209556006867,0.8737741708755493,0.31328277850834835,85064.47955546626
128,64,0.0003,0.1,0.9,0.3125723575050773,0.8587198257446289,0.34145495462351194,59326.21728434605
128,64,0.0003,0.1,1.0,0.34730261945008584,0.832754909992218,0.42622864641632235,31414.851536402643
128,64,0.0003,0.15,0.8,0.08617149087501087,0.9225032925605774,0.1728456594068645,255794.0145492158
128,64,0.0003,0.15,0.9,0.09694292723438723,0.9218086004257202,0.17635903082999696,253027.1890863402
128,64,0.0003,0.15,1.0,0.10771436359376359,0.9212225079536438,0.1799602053152341,251053.41151192522
128,64,0.0003,0.2,0.8,0.17522536564619476,0.9214101433753967,0.17771921234462607,305969.51154510264
128,64,0.0003,0.2,0.9,0.1971285363519691,0.9046472907066345,0.24135716795173096,193505.44649057763
128,64,0.0003,0.2,1.0,0.21903170705774344,0.898391842842102,0.2875815699767034,158850.7769081618
128,64,0.0003,0.25,0.8,0.10882153442780854,0.9008876085281372,0.24508440386557478,183911.79527051013
128,64,0.0003,0.25,0.9,0.1224242262312846,0.9012048840522766,0.23987958983344687,177373.04587099908
128,64,0.0003,0.25,1.0,0.13602691803476066,0.8991051912307739,0.24876766323299718,165854.88660996576
128,64,0.0004,0.01,0.8,0.5332268035991274,0.38468560576438904,0.5830429659423694,869.6470385774471
128,64,0.0004,0.01,0.9,0.5998801540490183,0.33599987626075745,0.5042236451488918,639.147435470262
128,64,0.0004,0.01,1.0,0.6665335044989092,0.5172486305236816,0.6096062758103216,1866.8243189411335
128,64,0.0004,0.05,0.8,0.40852164997855556,0.35138824582099915,0.5958432108925239,2470.175268717974
128,64,0.0004,0.05,0.9,0.459586856225875,0.17592395842075348,0.5473798731369559,782.580637380786
128,64,0.0004,0.05,1.0,0.5106520624731944,0.23949307203292847,0.5284903008133373,889.4078914719196
128,64,0.0004,0.1,0.8,0.21816808696797138,0.8530612587928772,0.28573827235193355,50276.443293215256
128,64,0.0004,0.1,0.9,0.24543909783896778,0.8453229069709778,0.317541302236799,46393.91038113985
128,64,0.0004,0.1,1.0,0.2727101087099642,0.8257761001586914,0.35713031215364244,32120.280422701933
128,64,0.0004,0.15,0.8,0.15599085864300016,0.9172402024269104,0.16278163191665007,190597.44415023344
128,64,0.0004,0.15,0.9,0.17548971597337518,0.9144755601882935,0.2032363005780117,180457.78352254798
128,64,0.0004,0.15,1.0,0.1949885733037502,0.9144755601882935,0.2032363005780117,180457.78352254804
128,64,0.0004,0.2,0.8,0.09622740191986956,0.9391136765480042,0.14971941533479255,438288.5161945951
128,64,0.0004,0.2,0.9,0.10825582715985325,0.9358163475990295,0.1755592346715422,405221.41891435836
128,64,0.0004,0.2,1.0,0.12028425239983695,0.9356645941734314,0.1766056307159441,402816.97303316125
128,64,0.0004,0.25,0.8,0.15817393816009317,0.9247457385063171,0.20977644318567223,251830.62407721044
128,64,0.0004,0.25,0.9,0.1779456804301048,0.9144231677055359,0.2583527267844402,204134.29183972452
128,64,0.0004,0.25,1.0,0.19771742270011644,0.9134494066238403,0.26156457055809496,198468.3096876651
128,64,0.0005,0.01,0.8,0.45107971189442453,0.32145845890045166,0.5807683399669633,778.3499891273065
128,64,0.0005,0.01,0.9,0.5074646758812276,0.43886083364486694,0.42998301331511013,251.133188415368
128,64,0.0005,0.01,1.0,0.5638496398680306,,,
128,64,0.0005,0.05,0.8,0.31561773270769605,0.32760193943977356,0.5875249401606552,2540.872017945218
128,64,0.0005,0.05,0.9,0.35506994929615804,0.29834213852882385,0.5937662807390887,3019.0733801944193
128,64,0.0005,0.05,1.0,0.39452216588462,0.15866996347904205,0.6313878898526385,1043.723714298045
128,64,0.0005,0.1,0.8,0.23945957054308234,0.682918906211853,0.31400170845710895,8731.945751746598
128,64,0.0005,0.1,0.9,0.26939201686096764,0.6687227487564087,0.38077445995626524,8449.108311869322
128,64,0.0005,0.1,1.0,0.2993244631788529,0.6337831020355225,0.5085954481333149,8890.964151022026
128,64,0.0005,0.15,0.8,0.14016569177483879,0.9077588319778442,0.24736976806455818,124998.28969426364
128,64,0.0005,0.15,0.9,0.1576864032466936,0.9058956503868103,0.2575101122643673,116467.11220401053
128,64,0.0005,0.15,1.0,0.17520711471854847,0.9043617248535156,0.268315150675338,114431.84506500988
128,64,0.0005,0.2,0.8,0.10665873197867737,0.9340552091598511,0.1650885119799643,409526.127841209
128,64,0.0005,0.2,0.9,0.11999107347601204,0.9326078295707703,0.17207793135617588,382864.4839360183
128,64,0.0005,0.2,1.0,0.1333234149733467,0.9323060512542725,0.17441521086659711,379946.44511110877
128,64,0.0005,0.25,0.8,0.19643913382762812,0.924847424030304,0.2532886342189955,275331.8685097371
128,64,0.0005,0.25,0.9,0.2209940255560816,0.9211923480033875,0.2581099315666317,197014.6396916545
128,64,0.0005,0.25,1.0,0.24554891728453512,0.9149224162101746,0.273510243983427,165790.83531034493
128,64,0.0006,0.01,0.8,0.4425094670222919,,,
128,64,0.0006,0.01,0.9,0.49782315040007835,,,
128,64,0.0006,0.01,1.0,0.5531368337778648,,,
128,64,0.0006,0.05,0.8,0.37805314973716303,0.3720897138118744,0.5788146270896948,3496.4939913999906
128,64,0.0006,0.05,0.9,0.42530979345430836,0.19294217228889465,0.6092834031538761,1155.7111376684452
128,64,0.0006,0.05,1.0,0.47256643717145375,0.13456426560878754,0.5469705378139916,733.8986089103385
128,64,0.0006,0.1,0.8,0.3430514736263375,0.6156222224235535,0.6256457999057559,7164.241359263177
128,64,0.0006,0.1,0.9,0.38593290782962963,0.5084100961685181,0.6935488928237447,3845.7223670519775
128,64,0.0006,0.1,1.0,0.4288143420329218,0.3684500455856323,1.0660549949260092,2030.4129631718295
128,64,0.0006,0.15,0.8,0.16110094368857206,0.8622964024543762,0.3102299852625015,69315.4480707443
128,64,0.0006,0.15,0.9,0.18123856164964355,0.8603300452232361,0.2919240313734786,61712.07800102184
128,64,0.0006,0.15,1.0,0.20137617961071505,0.8602359294891357,0.29221978694396133,61651.23250576742
128,64,0.0006,0.2,0.8,0.27554436232358265,0.8893117308616638,0.3349434312634571,72730.40358849398
128,64,0.0006,0.2,0.9,0.30998740761403043,0.8881738185882568,0.3387657478905576,70186.9748569375
128,64,0.0006,0.2,1.0,0.34443045290447827,0.8771630525588989,0.36823904884711023,54845.13549884113
128,64,0.0006,0.25,0.8,0.21670666860448168,0.9207713603973389,0.2687316469027785,238349.99638328006
128,64,0.0006,0.25,0.9,0.24379500218004188,0.909296452999115,0.35726847281029683,165457.3625208088
128,64,0.0006,0.25,1.0,0.2708833357556021,0.9025148153305054,0.3352530094578864,135431.03103251287
128,64,0.0007,0.01,0.8,0.4890122153139103,0.39773404598236084,0.6831801022503706,784.0094352263015
128,64,0.0007,0.01,0.9,0.5501387422281491,0.3968111574649811,0.6360295162408179,272.5271551606543
128,64,0.0007,0.01,1.0,0.6112652691423879,,,
128,64,0.0007,0.05,0.8,0.43998511722487565,0.09859354048967361,0.5877221182034107,598.7981802288402
128,64,0.0007,0.05,0.9,0.4949832568779851,0.06514038890600204,0.6062805177030193,390.3494867569361
128,64,0.0007,0.05,1.0,0.5499813965310946,0.3620111048221588,0.4941501126827303,204.52583279330537
128,64,0.0007,0.1,0.8,0.23258830529547608,0.6660470962524414,0.37323166454428686,7863.9560945884905
128,64,0.0007,0.1,0.9,0.2616618434574106,0.6353604793548584,0.43475005103550746,8006.53236292662
128,64,0.0007,0.1,1.0,0.2907353816193451,0.5630237460136414,0.7390605348204413,5693.3446743465165
128,64,0.0007,0.15,0.8,0.4233814215736871,0.5894683003425598,0.5343609651608359,5854.096753098181
128,64,0.0007,0.15,0.9,0.47630409927039796,0.5657094120979309,0.5709367104540205,5235.642038782129
128,64,0.0007,0.15,1.0,0.5292267769671088,0.5657094120979309,0.5709367104540205,5235.642038782129
128,64,0.0007,0.2,0.8,0.2034356489770259,0.9335984587669373,0.2020530436182622,300368.6625367467
128,64,0.0007,0.2,0.9,0.22886510509915411,0.9306431412696838,0.23342009310380393,268293.0039333599
128,64,0.0007,0.2,1.0,0.25429456122128236,0.9031546711921692,0.3161093644515013,76941.53740946438
128,64,0.0007,0.25,0.8,0.16509620272274547,0.9285008311271667,0.21244749378945313,254160.23219405292
128,64,0.0007,0.25,0.9,0.18573322806308865,0.9133979082107544,0.26952343966803144,166601.80649239846
128,64,0.0007,0.25,1.0,0.20637025340343182,0.9132844805717468,0.2695772938516701,166109.94803771767
128,64,0.0008,0.01,0.8,0.4460001871204322,0.12206093966960907,0.5870829379521713,241.463233622956
