perplexity,epsilon_multiplier,epsilon,number_of_clusters,number_of_outliers,outlier_percentage,smallest_cluster_size,silhouette_score,davies_bouldin_index,calinski_harabasz_index
20,0.8,9.011484435011715,16,166,2.1122280188319125,58,0.45068714022636414,0.5096896339285216,4709.812395355906
20,0.9,10.137919989388179,12,65,0.8270772362896042,58,0.36527326703071594,0.6130463259394531,3883.2053088274965
20,1.0,11.264355543764642,7,49,0.6234889935106248,58,-0.058121100068092346,0.63610255800512,409.4167147533156
30,0.8,7.558919142001035,19,248,3.1556177630741824,61,0.5231693387031555,0.48284632575435144,5496.932116981232
30,0.9,8.503784034751165,17,73,0.928871357679094,49,0.4616910517215729,0.5394694259669919,5240.151256407585
30,1.0,9.448648927501294,13,26,0.3308308945158417,70,0.4143063426017761,0.5377654045687289,4788.729614862937
40,0.8,10.136927941785032,10,9,0.11451838656317598,98,0.44206228852272034,0.6239876766347159,5325.675644680848
40,0.9,11.404043934508161,4,0,0.0,201,0.16592881083488464,0.8240188588522324,1781.1113935747612
40,1.0,12.67115992723129,2,0,0.0,240,0.19746342301368713,0.6784627874481595,535.0721875620733
50,0.8,8.25236233357159,11,68,0.865250031810663,70,0.5187427401542664,0.7839273058145697,6569.021582540314
50,0.9,9.28390762526804,8,7,0.08906985621580354,70,0.40338537096977234,0.9236250286459302,4967.492562641312
50,1.0,10.315452916964487,4,0,0.0,168,0.12989217042922974,0.884025255651942,1588.556662258673
60,0.8,7.894861652810682,9,22,0.2799338338210969,94,0.5139492750167847,0.6447205598122797,7547.378937633506
60,0.9,8.881719359412017,7,0,0.0,168,0.45812660455703735,0.6106759246894189,6884.735458972653
60,1.0,9.868577066013351,6,0,0.0,168,0.2240101397037506,0.7398385974125409,1909.3508509935064
70,0.8,7.152356539636337,13,56,0.7125588497264284,95,0.5437742471694946,0.5492911203467924,10800.525613822623
70,0.9,8.04640110709088,10,56,0.7125588497264284,95,0.41652944684028625,0.599874995677103,6503.815986350193
70,1.0,8.94044567454542,8,0,0.0,119,0.44764450192451477,0.5572498086929886,6252.136298721375
80,0.8,8.65642788240076,7,37,0.4707978114263901,95,0.4768027067184448,0.7814870250013659,7649.88033382718
80,0.9,9.738481367700853,5,15,0.1908639776052933,95,0.4565589725971222,0.6076194119002467,6147.970878385279
80,1.0,10.820534853000948,4,0,0.0,95,0.23864516615867615,0.7632813366340749,2005.8594345310653
