hidden_layer_1,hidden_layer_2,learning_rate,beta,epsilon_multiplier,epsilon,number_of_clusters,number_of_outliers,outlier_percentage,smallest_cluster_size,silhouette_score,davies_bouldin_index,calinski_harabasz_index,valid_model,silhouette_rank,davies_bouldin_rank,calinski_harabasz_rank,combined_rank
256,128,0.0004,0.25,0.9,0.056687953496451914,21,241,3.066547906858379,51,0.9384878277778625,0.1446306050100466,635372.705302155,True,10.0,7.0,2.0,19.0
256,128,0.0004,0.25,0.8,0.05038929199684614,22,294,3.7409339610637486,51,0.9367043972015381,0.14572613717286811,775076.8049694984,True,12.0,8.0,1.0,21.0
128,64,0.0008,0.25,0.8,0.11640059719851521,19,210,2.672095686474106,51,0.9469493627548218,0.16275011603641132,623995.9243250876,True,2.0,19.0,4.0,25.0
256,128,0.0004,0.25,1.0,0.06298661499605768,21,229,2.9138567247741443,51,0.9377456307411194,0.1505811688095816,628250.3296370461,True,11.0,11.0,3.0,25.0
256,128,0.001,0.25,0.8,0.18123693562276233,16,331,4.211731772490139,51,0.951768159866333,0.16515106393371587,567286.9894753061,True,1.0,25.0,7.0,33.0
128,64,0.0008,0.2,0.8,0.09822277888705787,17,254,3.2319633541162998,51,0.9419991374015808,0.15707942774472852,510450.4717230596,True,6.0,13.0,16.0,35.0
256,128,0.0003,0.25,0.8,0.05140598841009036,22,227,2.8884081944267717,51,0.9346935749053955,0.1505491254025352,549567.8966360575,True,16.0,10.0,10.0,36.0
128,64,0.0004,0.2,0.8,0.09622740191986956,18,238,3.0283751113373203,56,0.9391136765480042,0.14971941533479255,438288.5161945951,True,9.0,9.0,20.0,38.0
128,64,0.0008,0.2,0.9,0.11050062624794009,17,252,3.206514823768927,51,0.9418632984161377,0.15851386813243917,509192.20405463484,True,7.0,14.0,17.0,38.0
128,64,0.0008,0.2,1.0,0.12277847360882232,17,250,3.181066293421555,51,0.9416764378547668,0.16045727201858362,506284.4981148224,True,8.0,16.0,18.0,42.0
256,128,0.0003,0.25,0.9,0.057831736961351646,22,213,2.710268481995165,51,0.933687150478363,0.1541699350369626,537760.5185868406,True,19.0,12.0,12.0,43.0
256,128,0.0007,0.25,0.8,0.015126755035027046,6,48,0.6107647283369385,424,0.9259098768234253,0.07790664821555278,542327.9829027529,True,36.0,1.0,11.0,48.0
128,64,0.0008,0.25,0.9,0.13095067184832962,20,151,1.921364041226619,51,0.9441409707069397,0.19466545342725555,579573.0707553333,True,4.0,42.0,5.0,51.0
256,128,0.0007,0.25,0.9,0.017017599414405428,6,35,0.4453492810790177,424,0.925311267375946,0.07828456860267191,534056.4896338899,True,37.0,2.0,14.0,53.0
128,64,0.0008,0.25,1.0,0.145500746498144,20,150,1.9086397760529328,51,0.9440658688545227,0.19527369316221477,577503.6586690428,True,5.0,43.0,6.0,54.0
256,128,0.0007,0.25,1.0,0.018908443793783807,6,22,0.2799338338210969,424,0.9247094988822937,0.07863194135285162,524216.3948045112,True,40.0,3.0,15.0,58.0
256,128,0.0002,0.2,0.8,0.04315537924295274,19,292,3.715485430716376,51,0.9295213222503662,0.11340110300106465,375798.4988929168,True,29.0,4.0,29.0,62.0
