hidden_1,hidden_2,learning_rate,beta,batch_size,epochs,epsilon,min_samples,clusters,outliers,outlier_percentage,silhouette,dbi,chi,cluster_error,silhouette_error,dbi_error,chi_error,matching_error
32,16,0.0002,0.001,128,50,0.2,10,5,52,0.6799163179916319,0.639451265335083,0.5977234281045284,21676.000323593667,0.5833333333333334,0.2815154322077719,2.1459127794975177,0.8436503000290276,0.9636029612669126
32,16,0.0002,0.001,128,50,0.2,20,5,127,1.6605648535564854,0.6429128050804138,0.5790387455395338,22049.919354442463,0.5833333333333334,0.27762606170740023,2.047572344944915,0.8409532098180161,0.9373712374509162
32,16,0.0002,0.001,128,50,0.2,30,5,231,3.020397489539749,0.6549339294433594,0.5423775861603902,21044.04288063362,0.5833333333333334,0.2641191804007198,1.8546188745283696,0.8482086297543543,0.8875700045041943
32,16,0.0002,0.001,128,50,0.2,40,4,366,4.785564853556486,0.6573001742362976,0.55381690286492,27598.11653142422,0.6666666666666666,0.26146047838618247,1.9148258045522106,0.8009338819415217,0.9109717078866454
32,16,0.0002,0.001,128,50,0.2,50,4,437,5.713912133891213,0.6648446321487427,0.5422592707772935,28176.131840557075,0.6666666666666666,0.2529835593834352,1.8539961619857555,0.7967646385934681,0.8926027566573314
32,16,0.0002,0.001,128,50,0.2,60,4,479,6.263075313807532,0.6651893258094788,0.5361846942912398,28417.288839556135,0.6666666666666666,0.2525962631354171,1.8220247067959991,0.7950251652646012,0.8840782004656711
32,16,0.0002,0.001,128,50,0.2,70,4,538,7.0345188284518825,0.6609961986541748,0.5265420923951516,28771.27018626531,0.6666666666666666,0.25730764196160133,1.771274170500798,0.7924718862220161,0.8719300913377704
32,16,0.0002,0.001,128,50,0.2,80,4,601,7.858263598326359,0.6741845011711121,0.5179573331594676,29094.827969975213,0.6666666666666666,0.24248932452684038,1.7260912271550923,0.7901380533353625,0.8563463179209905
32,16,0.0002,0.001,128,50,0.2,90,4,664,8.682008368200837,0.6715901494026184,0.51126115592514,29469.301767262725,0.6666666666666666,0.24540432651391192,1.690848189079684,0.7874369615758665,0.8475890359590323
32,16,0.0002,0.001,128,50,0.2,100,4,700,9.152719665271967,0.6716674566268921,0.5076545460597057,29543.90683913071,0.6666666666666666,0.2453174644641662,1.671866031893188,0.7868988327500344,0.8426872489435138
32,16,0.0002,0.001,128,50,0.25,10,5,23,0.30073221757322177,0.6440003514289856,0.6103584049178274,21028.778986827485,0.5833333333333334,0.2764040995179937,2.2124126574622496,0.8483187287200928,0.9801172047584175
32,16,0.0002,0.001,128,50,0.25,20,5,65,0.8498953974895397,0.6432199478149414,0.5938789591399407,21994.469226034376,0.5833333333333334,0.27728095751130183,2.1256787323154773,0.8413531734095705,0.9569115491424208
32,16,0.0002,0.001,128,50,0.25,30,5,107,1.3990585774058577,0.6467856168746948,0.5802985276279747,22097.293842072697,0.5833333333333334,0.2732745877812418,2.0542027769893405,0.8406114960877759,0.9378555485479229
32,16,0.0002,0.001,128,50,0.25,40,5,202,2.6412133891213387,0.6401597857475281,0.5475720314933136,21039.828480606302,0.5833333333333334,0.28071934185671005,1.8819580604911241,0.8482390283597239,0.8985624410102229
32,16,0.0002,0.001,128,50,0.25,50,4,294,3.844142259414226,0.6594465970993042,0.5641207760518182,27067.218447754516,0.6666666666666666,0.2590487673041526,1.969056716062201,0.8047632671997687,0.9248838543081972
32,16,0.0002,0.001,128,50,0.25,60,4,336,4.393305439330543,0.6530606150627136,0.5564910283413532,27774.521300667482,0.6666666666666666,0.2662240280194229,1.9289001491650168,0.7996614685657657,0.915363078104218
32,16,0.0002,0.001,128,50,0.25,70,4,372,4.864016736401674,0.658754825592041,0.550017311332775,28051.865804196423,0.6666666666666666,0.2598260386606281,1.8948279543830262,0.7976609735820048,0.9047454083230815
32,16,0.0002,0.001,128,50,0.25,80,4,394,5.151673640167364,0.6617092490196228,0.5464564714827151,28251.989811964588,0.6666666666666666,0.25650646177570474,1.8760866920142902,0.7962174725622395,0.8988693232547253
32,16,0.0002,0.001,128,50,0.25,90,4,423,5.530857740585774,0.6693878769874573,0.5401678212942429,28560.9681426918,0.6666666666666666,0.2478787899017334,1.8429885331275941,0.7939888017472577,0.8878806978608129
32,16,0.0002,0.001,128,50,0.25,100,4,470,6.145397489539748,0.665550947189331,0.5320941368624804,28840.433575456667,0.6666666666666666,0.25218994697827973,1.8004954571709495,0.7919730084314822,0.8778312698118446
32,16,0.0002,0.001,128,50,0.3,10,5,16,0.20920502092050208,0.6361914873123169,0.6139384151117848,20882.24477127756,0.5833333333333334,0.2851781041434642,2.231254816377815,0.8493756848141457,0.9872854846671896
32,16,0.0002,0.001,128,50,0.3,20,5,41,0.5360878661087867,0.6358149647712708,0.6040255111679976,21503.41379254868,0.5833333333333334,0.2856011631783475,2.1790816377263034,0.8448951723276567,0.9732278266414103
32,16,0.0002,0.001,128,50,0.3,30,5,59,0.7714435146443515,0.6352216601371765,0.5956480147795099,21865.660421086148,0.5833333333333334,0.2862677975986781,2.134989551471105,0.8422822755366521,0.9617182394849422
32,16,0.0002,0.001,128,50,0.3,40,5,91,1.1898535564853556,0.6473671793937683,0.5846971809854399,21997.29930105689,0.5833333333333334,0.27262114674857496,2.077353584133894,0.841332759985781,0.9436602060503959
32,16,0.0002,0.001,128,50,0.3,50,5,115,1.5036610878661087,0.6483900547027588,0.57833956167839,22098.794609383152,0.5833333333333334,0.27147184864858565,2.043892429886263,0.8406006710040328,0.9348245707180538
32,16,0.0002,0.001,128,50,0.3,60,5,179,2.340481171548117,0.656661331653595,0.5617202985109767,21616.63233672243,0.5833333333333334,0.2621782790409045,1.9564226237419826,0.844078523261941,0.9115031898445404
32,16,0.0002,0.001,128,50,0.3,70,4,279,3.648012552301255,0.6496817469596863,0.5679693748643748,26926.494191448695,0.6666666666666666,0.2700205090340604,1.9893124992861833,0.8057783158675851,0.9329444977136239
32,16,0.0002,0.001,128,50,0.3,80,4,304,3.9748953974895396,0.6551288962364197,0.5627308337170195,27295.5800967313,0.6666666666666666,0.2639001165882925,1.9617412300895762,0.8031160871495112,0.9238560251235116
32,16,0.0002,0.001,128,50,0.3,90,4,328,4.288702928870293,0.6590866446495056,0.5573337284584833,27610.97860762129,0.6666666666666666,0.2594532082589825,1.9333354129393856,0.8008411073648289,0.9150740988074659
32,16,0.0002,0.001,128,50,0.3,100,4,340,4.445606694560669,0.6565517783164978,0.5545088453341949,27744.851402971406,0.6666666666666666,0.2623013726780924,1.9184676070220783,0.7998754785091916,0.9118277812190072
32,16,0.0002,0.001,128,50,0.35,10,5,11,0.14382845188284518,0.6324350833892822,0.6159227602883073,20704.6192485926,0.5833333333333334,0.28939878270867164,2.241698738359512,0.8506569035244421,0.9912719394814898
32,16,0.0002,0.001,128,50,0.35,20,5,20,0.2615062761506276,0.6376546025276184,0.6116650254231548,21007.172491993042,0.5833333333333334,0.2835341544633501,2.2192896074902886,0.8484745770746951,0.9836579180904168
32,16,0.0002,0.001,128,50,0.35,30,5,41,0.5360878661087867,0.6394999623298645,0.6039789570380665,21526.747682978275,0.5833333333333334,0.28146071648329835,2.1788366159898236,0.8447268642120744,0.9720893825046325
32,16,0.0002,0.001,128,50,0.35,40,5,62,0.8106694560669456,0.6350181698799133,0.5947573797772154,21733.154781865564,0.5833333333333334,0.28649643833717603,2.1303019988274494,0.8432380430503688,0.9608424533870819
32,16,0.0002,0.001,128,50,0.35,50,5,73,0.9544979079497908,0.6422845721244812,0.5906119606580384,21816.86643380624,0.5833333333333334,0.2783319414331672,2.10848400346336,0.8426342281643378,0.9531958765985495
32,16,0.0002,0.001,128,50,0.35,60,5,100,1.307531380753138,0.6464884281158447,0.5831887532861284,22114.582282325915,0.5833333333333334,0.27360850773500595,2.0694144909796233,0.840486794002234,0.9417107815125492
32,16,0.0002,0.001,128,50,0.35,70,5,144,1.882845188284519,0.6486827731132507,0.5704972897291568,21775.162750009484,0.5833333333333334,0.2711429515581453,2.002617314363983,0.8429350382008743,0.9250071593640841
32,16,0.0002,0.001,128,50,0.35,80,4,253,3.3080543933054396,0.6562906503677368,0.5744716815062056,26391.07759744733,0.6666666666666666,0.26259477486771143,2.023535165822135,0.8096402932887828,0.940609225161324
32,16,0.0002,0.001,128,50,0.35,90,4,261,3.41265690376569,0.6487270593643188,0.5723400607045798,26531.565132959986,0.6666666666666666,0.27109319172548446,2.0123161089714725,0.8086269520957973,0.9396757298648553
32,16,0.0002,0.001,128,50,0.35,100,4,271,3.5434100418410037,0.6505402326583862,0.5703308910270871,26748.130490182804,0.6666666666666666,0.2690559183613638,2.0017415317215113,0.8070648590841525,0.9361322439584236
32,16,0.0002,0.001,128,50,0.4,10,5,5,0.0653765690376569,0.6325311064720154,0.6201941579701769,20490.52967242209,0.5833333333333334,0.28929089160447713,2.2641797787904046,0.8522011386463035,0.9972512855936295
32,16,0.0002,0.001,128,50,0.4,20,5,14,0.18305439330543932,0.6402335166931152,0.6147329964144952,20835.600990926552,0.5833333333333334,0.28063649809762337,2.2354368232341852,0.8497121279288588,0.9872796956485002
32,16,0.0002,0.001,128,50,0.4,30,5,25,0.3268828451882845,0.6397197246551514,0.6093972597201687,21053.680213407977,0.5833333333333334,0.28121379252230183,2.2073539985272035,0.8481391153575423,0.9800100599350953
32,16,0.0002,0.001,128,50,0.4,40,5,34,0.444560669456067,0.6390960216522217,0.6060400225562682,21312.856393995393,0.5833333333333334,0.2819145824132341,2.1896843292435166,0.8462696690819599,0.975300478518011
32,16,0.0002,0.001,128,50,0.4,50,5,55,0.7191422594142259,0.6381160020828247,0.5973239470008468,21617.651427861394,0.5833333333333334,0.28301572799682617,2.143810247372878,0.8440711725241922,0.9635576203068075
32,16,0.0002,0.001,128,50,0.4,60,5,64,0.8368200836820083,0.6373153924942017,0.5940101101378567,21707.901427670662,0.5833333333333334,0.2839152893323577,2.1263690007255613,0.8434201963209302,0.9592594549280457
32,16,0.0002,0.001,128,50,0.4,70,5,81,1.0591004184100419,0.6416164040565491,0.5884492688761123,21837.403626383748,0.5833333333333334,0.2790826920712932,2.0971014151374328,0.842486092721922,0.9505008833159954
32,16,0.0002,0.001,128,50,0.4,80,5,117,1.5298117154811715,0.6502079367637634,0.5779476435928401,21822.989419121957,0.5833333333333334,0.2694292845350973,2.0418297031202113,0.8425900628707989,0.9342955959648602
32,16,0.0002,0.001,128,50,0.4,90,5,147,1.922071129707113,0.6439963579177856,0.5733313684025967,21410.21474402555,0.5833333333333334,0.2764085866092296,2.0175335179084035,0.8455674201158387,0.9307107144917013
32,16,0.0002,0.001,128,50,0.4,100,4,245,3.2034518828451883,0.6535032987594604,0.576712103598461,26218.93874923946,0.6666666666666666,0.2657266306073478,2.0353268610445316,0.8108819364364512,0.9446505236887494
32,16,0.0002,0.001,128,50,0.45,10,5,5,0.0653765690376569,0.6325311064720154,0.6201941579701769,20490.52967242209,0.5833333333333334,0.28929089160447713,2.2641797787904046,0.8522011386463035,0.9972512855936295
32,16,0.0002,0.001,128,50,0.45,20,5,11,0.14382845188284518,0.6323218941688538,0.6163758880882851,20702.450744021535,0.5833333333333334,0.2895259616080295,2.2440836215172904,0.8506725450189065,0.9919038653693899
32,16,0.0002,0.001,128,50,0.45,30,5,16,0.20920502092050208,0.6356481909751892,0.6132570586257284,20866.851487943266,0.5833333333333334,0.28578854946607957,2.227668729609097,0.8494867170707869,0.9865693323698242
32,16,0.0002,0.001,128,50,0.45,40,5,23,0.30073221757322177,0.6358692049980164,0.6103527842358198,20992.42187103588,0.5833333333333334,0.2855402191033524,2.2123830749253677,0.8485809737865704,0.9824594002871561
32,16,0.0002,0.001,128,50,0.45,50,5,32,0.41841004184100417,0.6427979469299316,0.6061365852751637,21182.024484938724,0.5833333333333334,0.2777551158090656,2.190192554079809,0.8472133639252089,0.9746235917868542
32,16,0.0002,0.001,128,50,0.45,60,5,40,0.5230125523012552,0.6383781433105469,0.6026459188687306,21308.116475654886,0.5833333333333334,0.28272118729152035,2.171820625624898,0.8463038582681272,0.9710447511294696
32,16,0.0002,0.001,128,50,0.45,70,5,60,0.7845188284518828,0.6359800100326538,0.5952439808397231,21596.22815436472,0.5833333333333334,0.2854157190644339,2.132863057051174,0.8442256992972867,0.9614594521865569
32,16,0.0002,0.001,128,50,0.45,80,5,77,1.0067991631799162,0.641994833946228,0.589804024190294,21737.057619127107,0.5833333333333334,0.2786574899480584,2.1042317062647053,0.8432098917574287,0.9523581053258814
32,16,0.0002,0.001,128,50,0.45,90,5,83,1.0852510460251046,0.647120475769043,0.5886459934821902,21635.474294235923,0.5833333333333334,0.272898341832536,2.098136807801001,0.8439426156055411,0.9495777746431029
