n_neighbors,min_dist,epsilon,min_samples,clusters,outliers,outlier_percentage,silhouette,dbi,chi,cluster_error,silhouette_error,dbi_error,chi_error,matching_error
10,0.0,0.3,10,46,33,0.4314853556485356,0.8868191242218018,0.07816911250244309,43342.22556047015,1.0909090909090908,0.05573705264500213,0.13145430552841011,0.203461629451695,0.3703905196335495
10,0.0,0.3,20,34,207,2.706589958158996,0.8952621817588806,0.07951560201267481,55425.17098753143,0.5454545454545454,0.06578831161771506,0.11649331097027986,0.01859733354427633,0.18658337539670414
10,0.0,0.3,30,25,407,5.3216527196652725,0.9028176069259644,0.0777056721132257,70790.75881080999,0.13636363636363635,0.07478286538805284,0.13660364318638113,0.30098431596157743,0.16218361522491193
10,0.0,0.3,40,24,438,5.726987447698745,0.90511155128479,0.07631051235576049,72998.62198388268,0.09090909090909091,0.077513751529512,0.15210541826932789,0.3415601680672637,0.16552210719379862
10,0.0,0.3,50,22,522,6.82531380753138,0.9092457294464111,0.07724303119772151,77257.01911238364,0.0,0.08243539219810853,0.1417440978030943,0.4198204942508217,0.16099999606300613
10,0.0,0.3,60,19,696,9.100418410041842,0.9118441343307495,0.0772705753672767,85164.07414983046,0.13636363636363635,0.08552873134613041,0.14143805147470326,0.5651354302957287,0.23211646237004968
10,0.0,0.3,70,17,912,11.92468619246862,0.7196731567382812,0.14622774333056007,92053.19309386003,0.22727272727272727,0.14324624197823657,0.6247527036728897,0.6917428554390177,0.4217536320907178
10,0.0,0.3,80,16,1103,14.422071129707112,0.7405191659927368,0.14829672993429602,99760.06244641736,0.2727272727272727,0.1184295642943609,0.6477414437144002,0.8333788022952755,0.46806927075782734
10,0.0,0.3,90,14,1417,18.527719665271967,0.9146338105201721,0.08257520548882506,111463.333789126,0.36363636363636365,0.08884977442877637,0.0824977167908326,1.0484601592135956,0.39586100351739206
10,0.0,0.3,100,14,1651,21.58734309623431,0.9162209033966064,0.08157149997404121,115852.1562091093,0.36363636363636365,0.09073917071024581,0.09365000028843092,1.129117426205158,0.4192857402100496
10,0.0,0.35,10,46,33,0.4314853556485356,0.8868191242218018,0.07816911250244309,43342.22556047015,1.0909090909090908,0.05573705264500213,0.13145430552841011,0.203461629451695,0.3703905196335495
10,0.0,0.35,20,34,207,2.706589958158996,0.8952621817588806,0.07951560201267481,55425.17098753143,0.5454545454545454,0.06578831161771506,0.11649331097027986,0.01859733354427633,0.18658337539670414
10,0.0,0.35,30,25,407,5.3216527196652725,0.9028176069259644,0.0777056721132257,70790.75881080999,0.13636363636363635,0.07478286538805284,0.13660364318638113,0.30098431596157743,0.16218361522491193
10,0.0,0.35,40,24,438,5.726987447698745,0.90511155128479,0.07631051235576049,72998.62198388268,0.09090909090909091,0.077513751529512,0.15210541826932789,0.3415601680672637,0.16552210719379862
10,0.0,0.35,50,22,522,6.82531380753138,0.9092457294464111,0.07724303119772151,77257.01911238364,0.0,0.08243539219810853,0.1417440978030943,0.4198204942508217,0.16099999606300613
10,0.0,0.35,60,19,689,9.008891213389122,0.9112216830253601,0.077349090332315,85040.91603903081,0.13636363636363635,0.0847877178873335,0.1405656629742777,0.5628720448874438,0.23114726552817283
10,0.0,0.35,70,16,885,11.571652719665272,0.9083219766616821,0.0818991822527909,93958.9076033094,0.2727272727272727,0.08133568650200257,0.09000908608010108,0.7267658546149419,0.2927094749810796
10,0.0,0.35,80,15,964,12.60460251046025,0.9087707996368408,0.08394990205713473,97114.13082370204,0.3181818181818182,0.08186999956766769,0.06722331047628069,0.7847521792715124,0.31300682687431974
10,0.0,0.35,90,14,1058,13.8336820083682,0.9078654050827026,0.08707043569439846,99730.35784412068,0.36363636363636365,0.08079214890797937,0.03255071450668377,0.8328328945758352,0.3274530304067155
10,0.0,0.35,100,15,1132,14.801255230125523,0.7345544695854187,0.1573889535017367,100216.82939709743,0.3181818181818182,0.125530393350692,0.7487661500192968,0.8417732120864251,0.5085628934095581
10,0.0,0.4,10,46,33,0.4314853556485356,0.8868191242218018,0.07816911250244309,43342.22556047015,1.0909090909090908,0.05573705264500213,0.13145430552841011,0.203461629451695,0.3703905196335495
10,0.0,0.4,20,34,207,2.706589958158996,0.8952621817588806,0.07951560201267481,55425.17098753143,0.5454545454545454,0.06578831161771506,0.11649331097027986,0.01859733354427633,0.18658337539670414
10,0.0,0.4,30,25,407,5.3216527196652725,0.9028176069259644,0.0777056721132257,70790.75881080999,0.13636363636363635,0.07478286538805284,0.13660364318638113,0.30098431596157743,0.16218361522491193
10,0.0,0.4,40,24,438,5.726987447698745,0.90511155128479,0.07631051235576049,72998.62198388268,0.09090909090909091,0.077513751529512,0.15210541826932789,0.3415601680672637,0.16552210719379862
10,0.0,0.4,50,22,522,6.82531380753138,0.9092457294464111,0.07724303119772151,77257.01911238364,0.0,0.08243539219810853,0.1417440978030943,0.4198204942508217,0.16099999606300613
10,0.0,0.4,60,19,689,9.008891213389122,0.9112216830253601,0.077349090332315,85040.91603903081,0.13636363636363635,0.0847877178873335,0.1405656629742777,0.5628720448874438,0.23114726552817283
10,0.0,0.4,70,16,885,11.571652719665272,0.9083219766616821,0.0818991822527909,93958.9076033094,0.2727272727272727,0.08133568650200257,0.09000908608010108,0.7267658546149419,0.2927094749810796
10,0.0,0.4,80,15,962,12.578451882845187,0.9081324338912964,0.08397825343061179,97065.50872975301,0.3181818181818182,0.08111004034678146,0.06690829521542457,0.7838586080949983,0.3125146904597556
10,0.0,0.4,90,14,1049,13.71600418410042,0.9072412848472595,0.08719905391568177,99525.46294671303,0.36363636363636365,0.08004914862768994,0.031121623159091463,0.829067360028306,0.3259686238628628
10,0.0,0.4,100,14,1052,13.755230125523013,0.9068594574928284,0.08715383406389836,99598.99398173817,0.36363636363636365,0.07959459225336715,0.03162406595668487,0.8304187048212018,0.3263184316669044
10,0.0,0.45,10,46,33,0.4314853556485356,0.8868191242218018,0.07816911250244309,43342.22556047015,1.0909090909090908,0.05573705264500213,0.13145430552841011,0.203461629451695,0.3703905196335495
10,0.0,0.45,20,34,207,2.706589958158996,0.8952621817588806,0.07951560201267481,55425.17098753143,0.5454545454545454,0.06578831161771506,0.11649331097027986,0.01859733354427633,0.18658337539670414
10,0.0,0.45,30,25,407,5.3216527196652725,0.9028176069259644,0.0777056721132257,70790.75881080999,0.13636363636363635,0.07478286538805284,0.13660364318638113,0.30098431596157743,0.16218361522491193
10,0.0,0.45,40,24,438,5.726987447698745,0.90511155128479,0.07631051235576049,72998.62198388268,0.09090909090909091,0.077513751529512,0.15210541826932789,0.3415601680672637,0.16552210719379862
10,0.0,0.45,50,22,522,6.82531380753138,0.9092457294464111,0.07724303119772151,77257.01911238364,0.0,0.08243539219810853,0.1417440978030943,0.4198204942508217,0.16099999606300613
10,0.0,0.45,60,19,689,9.008891213389122,0.9112216830253601,0.077349090332315,85040.91603903081,0.13636363636363635,0.0847877178873335,0.1405656629742777,0.5628720448874438,0.23114726552817283
10,0.0,0.45,70,16,885,11.571652719665272,0.9083219766616821,0.0818991822527909,93958.9076033094,0.2727272727272727,0.08133568650200257,0.09000908608010108,0.7267658546149419,0.2927094749810796
10,0.0,0.45,80,15,962,12.578451882845187,0.9081324338912964,0.08397825343061179,97065.50872975301,0.3181818181818182,0.08111004034678146,0.06690829521542457,0.7838586080949983,0.3125146904597556
10,0.0,0.45,90,14,1049,13.71600418410042,0.9072412848472595,0.08719905391568177,99525.46294671303,0.36363636363636365,0.08004914862768994,0.031121623159091463,0.829067360028306,0.3259686238628628
10,0.0,0.45,100,14,1049,13.71600418410042,0.9072412848472595,0.08719905391568177,99525.46294671303,0.36363636363636365,0.08004914862768994,0.031121623159091463,0.829067360028306,0.3259686238628628
10,0.0,0.5,10,46,33,0.4314853556485356,0.8868191242218018,0.07816911250244309,43342.22556047015,1.0909090909090908,0.05573705264500213,0.13145430552841011,0.203461629451695,0.3703905196335495
10,0.0,0.5,20,34,207,2.706589958158996,0.8952621817588806,0.07951560201267481,55425.17098753143,0.5454545454545454,0.06578831161771506,0.11649331097027986,0.01859733354427633,0.18658337539670414
10,0.0,0.5,30,25,407,5.3216527196652725,0.9028176069259644,0.0777056721132257,70790.75881080999,0.13636363636363635,0.07478286538805284,0.13660364318638113,0.30098431596157743,0.16218361522491193
10,0.0,0.5,40,24,438,5.726987447698745,0.90511155128479,0.07631051235576049,72998.62198388268,0.09090909090909091,0.077513751529512,0.15210541826932789,0.3415601680672637,0.16552210719379862
10,0.0,0.5,50,22,522,6.82531380753138,0.9092457294464111,0.07724303119772151,77257.01911238364,0.0,0.08243539219810853,0.1417440978030943,0.4198204942508217,0.16099999606300613
10,0.0,0.5,60,19,689,9.008891213389122,0.9112216830253601,0.077349090332315,85040.91603903081,0.13636363636363635,0.0847877178873335,0.1405656629742777,0.5628720448874438,0.23114726552817283
10,0.0,0.5,70,16,885,11.571652719665272,0.9083219766616821,0.0818991822527909,93958.9076033094,0.2727272727272727,0.08133568650200257,0.09000908608010108,0.7267658546149419,0.2927094749810796
10,0.0,0.5,80,15,962,12.578451882845187,0.9081324338912964,0.08397825343061179,97065.50872975301,0.3181818181818182,0.08111004034678146,0.06690829521542457,0.7838586080949983,0.3125146904597556
10,0.0,0.5,90,14,1049,13.71600418410042,0.9072412848472595,0.08719905391568177,99525.46294671303,0.36363636363636365,0.08004914862768994,0.031121623159091463,0.829067360028306,0.3259686238628628
10,0.0,0.5,100,14,1049,13.71600418410042,0.9072412848472595,0.08719905391568177,99525.46294671303,0.36363636363636365,0.08004914862768994,0.031121623159091463,0.829067360028306,0.3259686238628628
10,0.0,0.55,10,45,27,0.3530334728033473,0.8861740231513977,0.08119041419828321,44202.845950391464,1.0454545454545454,0.0549690751802354,0.09788428668574206,0.18764524821644551,0.3464882888842421
10,0.0,0.55,20,35,187,2.4450836820083683,0.8948228359222412,0.08222899288368014,54065.14036835424,0.5909090909090909,0.06526528085981101,0.08634452351466504,0.0063971506864372064,0.18722901149250104
10,0.0,0.55,30,25,401,5.243200836820084,0.9011688232421875,0.07787738437166858,70874.96359112875,0.13636363636363635,0.07282002766927087,0.13469572920368242,0.30253182160163516,0.1616028037095562
10,0.0,0.55,40,24,432,5.648535564853557,0.9054487347602844,0.0764893792916385,73085.95151651293,0.09090909090909091,0.07791516042891007,0.1501180078706833,0.343165100041165,0.16552683981246233
10,0.0,0.55,50,22,516,6.7468619246861925,0.910954475402832,0.07743815876413386,77352.45048646072,0.0,0.08446961357480008,0.13957601373184597,0.4215743209227004,0.16140498705733664
10,0.0,0.55,60,19,683,8.930439330543933,0.9093707203865051,0.07757502751447669,85154.18291949722,0.13636363636363635,0.08258419093631567,0.13805524983914788,0.5649536504173198,0.23048918188910494
10,0.0,0.55,70,16,879,11.493200836820083,0.9097167253494263,0.0821674826566079,94097.09957096436,0.2727272727272727,0.08299610160645988,0.08702797048213448,0.7293055304925724,0.2930142188271099
10,0.0,0.55,80,15,956,12.5,0.9080833196640015,0.08409120440135288,97216.00955448183,0.3181818181818182,0.08105157102857322,0.06565328442941236,0.7866244947135435,0.3128777920883368
10,0.0,0.55,90,14,1043,13.63755230125523,0.9082632064819336,0.08732007281290437,99689.6015310145,0.36363636363636365,0.08126572200230193,0.029776968745506994,0.8320838798030276,0.3266907335468
10,0.0,0.55,100,14,1043,13.63755230125523,0.9082632064819336,0.08732007281290437,99689.6015310145,0.36363636363636365,0.08126572200230193,0.029776968745506994,0.8320838798030276,0.3266907335468
10,0.0,0.6,10,45,27,0.3530334728033473,0.8861740231513977,0.08119041419828321,44202.845950391464,1.0454545454545454,0.0549690751802354,0.09788428668574206,0.18764524821644551,0.3464882888842421
10,0.0,0.6,20,34,187,2.4450836820083683,0.8966848850250244,0.0830939883102282,55490.06866664039,0.5454545454545454,0.06748200598217197,0.07673346321968666,0.019790015528216014,0.177365007546155
10,0.0,0.6,30,25,387,5.060146443514644,0.8999806642532349,0.0825722774778983,70890.30060046761,0.13636363636363635,0.07140555268242249,0.08253025024557437,0.30281368337199627,0.14827828066590737
10,0.0,0.6,40,24,432,5.648535564853557,0.9054487347602844,0.0764893792916385,73085.95151651293,0.09090909090909091,0.07791516042891007,0.1501180078706833,0.343165100041165,0.16552683981246233
